sector,rank,rank_change,profit margin,num. of employees,ceo_founder,ceo_woman,age,BS,MBA
Retailing,1,0,0.02840080616225542,2200000,0,0,54.0,0,1
Retailing,2,3,0.04130870306072251,798000,1,0,56.0,1,0
Energy,3,-1,0.0541258709584884,74900,0,0,55.0,0,1
Technology,4,-1,0.21238094505984456,137000,0,0,60.0,1,1
Health Care,5,3,0.02583574788921083,290000,0,1,57.0,0,1
Financials,6,-2,0.319763879724762,391500,0,0,90.0,1,0
Health Care,7,-1,0.057149346492948734,325000,0,0,56.0,0,0
Health Care,8,-1,0.00015864202427222972,70000,0,0,48.0,0,0
Telecommunications,9,0,0.07673033726468462,247800,0,0,58.0,0,0
Health Care,10,0,0.004763095310350127,21500,0,0,59.0,0,0
Technology,11,4,0.2121811228430034,118899,0,0,48.0,0,1
Motor Vehicles & Parts,12,0,0.00030147530468248876,190000,0,0,58.0,0,0
Health Care,13,52,0.033236523709675315,73700,0,0,54.0,0,1
Retailing,14,0,0.023961546269555937,201500,0,0,68.0,0,0
Energy,15,-4,0.019956864779273255,48200,0,0,59.0,1,0
Health Care,16,0,0.009365509090659228,49500,0,0,71.0,0,0
Financials,17,1,0.25579615508839926,256981,0,0,64.0,0,1
Motor Vehicles & Parts,18,-5,0.049053826591954064,164000,0,1,59.0,1,0
Food & Drug Stores,19,-2,0.02909415048295413,287000,0,0,79.0,0,0
Telecommunications,20,-1,0.14609306275972941,135000,0,0,55.0,0,0
Technology,21,5,0.3118171054409065,144000,0,0,53.0,0,1
Energy,22,9,0.021127606899922283,60910,0,0,78.0,0,0
Food & Drug Stores,23,-3,0.01356655708748344,435000,0,0,59.0,0,0
Financials,24,-2,0.11770182205080462,7500,0,0,57.0,0,0
Financials,25,0,0.24148465080245446,208131,0,0,61.0,0,0
Retailing,26,1,0.10199138126559311,415700,0,0,62.0,0,0
Energy,27,-4,0.02807619638733468,14500,0,0,57.0,0,0
Telecommunications,28,4,0.11985276569183602,190000,0,0,61.0,1,0
Health Care,29,4,0.04612668285146767,70600,0,1,60.0,0,0
Financials,30,-1,0.1881249097820334,259800,0,0,55.0,0,1
Financials,31,-1,0.18754168720818953,200000,0,1,53.0,1,1
Energy,32,-8,0.02357659472982313,10222,0,0,57.0,0,0
Industrials,33,-12,-0.05229273006070536,205000,0,0,57.0,0,1
Technology,34,0,0.050090066627601626,165000,1,0,55.0,0,0
Health Care,35,2,0.1842454819093579,132200,0,0,60.0,1,1
Financials,36,0,0.0704411974008537,57672,0,0,61.0,0,0
Retailing,37,2,0.042003789430561246,368000,0,0,62.0,0,0
Technology,38,0,0.1222471385795948,383800,0,0,58.0,0,0
Aerospace & Defense,39,7,0.07186615787970822,243200,0,0,57.0,0,0
Aerospace & Defense,40,-12,-0.0083073185386434,161100,0,0,63.0,0,0
Financials,41,-1,0.09602662229617305,6892,0,0,57.0,0,0
Health Care,42,9,0.01769852222028698,56600,0,0,57.0,0,0
Transportation,43,-2,0.059923880476151915,377640,0,1,57.0,0,0
Retailing,44,-2,0.059336364140378114,260000,0,0,57.0,0,1
Technology,45,-2,0.2924755089279511,110800,0,0,59.0,0,0
Technology,46,11,0.2614679547929898,44942,1,0,57.0,1,0
Transportation,47,0,0.007748267401317206,389500,1,0,76.0,0,0
Financials,48,-4,0.08473139902326918,49000,0,0,57.0,0,0
Media,49,4,0.15889032629006755,223000,0,0,57.0,0,0
Household Products,50,-5,0.057576384374445955,97000,0,0,62.0,0,0
"Food, Beverages & Tobacco",51,-3,0.10890248805110109,267000,0,0,57.0,0,0
Health Care,52,4,0.04171803723338676,46000,0,0,57.0,0,1
Financials,53,-3,0.064591787924144,51511,0,0,57.0,0,0
"Food, Beverages & Tobacco",54,-5,0.02132826033160109,38100,0,0,58.0,0,0
Food & Drug Stores,55,-3,0.0021657071587276675,267000,0,0,57.0,0,0
Wholesalers,56,-2,0.027852127378193727,69000,0,0,57.0,0,0
Aerospace & Defense,57,3,0.10415970039456965,110000,0,0,57.0,0,0
Technology,58,-3,0.053645585131731226,56000,0,0,55.0,0,1
Energy,59,0,0.06625717078929408,12812,0,0,57.0,0,0
Financials,60,2,0.15700456214532102,38300,0,0,58.0,0,0
Financials,61,2,0.16799509503372165,60431,0,0,62.0,0,1
Industrials,62,-4,0.11325278810408922,102300,0,0,57.0,1,0
Technology,63,1,0.22389411220715166,75900,0,0,54.0,0,0
Health Care,64,-3,0.3144541062801932,88300,0,0,57.0,0,0
Health Care,65,2,0.0682756739909615,245000,0,0,57.0,0,0
Financials,66,0,0.06730189361958751,46000,0,0,53.0,0,1
Financials,67,5,0.14374734155678434,64500,0,0,61.0,0,1
Transportation,68,1,0.1014104282340928,91224,0,0,63.0,0,0
Health Care,69,7,0.21014090520922288,71000,0,0,57.0,0,0
Transportation,70,-2,0.036837965390665965,133700,0,0,58.0,0,1
Telecommunications,71,-1,0.03644786294904292,95100,0,0,57.0,0,0
Financials,72,10,0.1084946838276441,46035,0,0,62.0,1,1
Financials,73,-2,0.022753340012602964,11519,0,0,57.0,0,0
Financials,74,-1,0.0188645354917921,28114,0,0,57.0,0,0
Retailing,75,-1,0.035313259086117606,125000,0,1,57.0,0,0
Transportation,76,2,0.06955777988395478,96000,0,0,53.0,0,0
Financials,77,-2,0.02415101323216434,45000,0,0,57.0,0,0
Chemicals,78,0,-0.03164070685199413,36500,0,0,57.0,0,0
"Food, Beverages & Tobacco",79,1,0.04768305624336753,141000,0,0,57.0,0,0
Retailing,80,5,0.07843804683941798,286000,0,0,57.0,0,0
Financials,81,-2,0.06081167932289194,16533,0,0,57.0,0,0
Technology,82,-1,0.28053966486103377,136000,0,1,59.0,0,0
Aerospace & Defense,83,9,0.08853875476493012,102900,0,1,57.0,0,0
Industrials,84,3,0.08286209180294463,73489,0,0,43.0,1,0
Apparel,85,5,0.10299869621903521,76700,0,0,60.0,0,1
Financials,86,13,0.10174438718373853,41571,0,1,57.0,0,0
Food & Drug Stores,87,4,0.07813783707894381,207000,0,0,30.0,0,0
"Food, Beverages & Tobacco",88,12,0.23936027478130198,86200,0,0,55.0,0,0
Financials,89,-5,0.09933858386080195,9896,0,0,57.0,0,0
Wholesalers,90,-2,0.01012205933229545,15000,0,0,57.0,0,0
Energy,91,-8,0.004858904370026345,5500,0,0,57.0,0,0
Industrials,92,-15,0.16734315835353727,113000,0,0,57.0,0,0
Energy,93,-7,0.19604581401690754,10400,0,0,57.0,1,0
Financials,94,7,0.11248153992149905,35076,0,0,57.0,0,0
Energy,95,-2,0.08525466054939311,32713,0,0,57.0,0,0
Aerospace & Defense,96,12,0.06642829703613959,90000,0,1,57.0,0,0
Financials,97,1,0.16424806017887816,51900,1,0,70.0,0,1
Energy,98,-4,0.009831001811755622,5000,0,0,57.0,0,0
Health Care,99,-3,0.23693861600432875,30000,0,0,57.0,0,0
Financials,100,12,0.002586862023892756,2012,0,0,57.0,0,0
Energy,101,-12,0.14002476425164384,7300,0,0,22.0,1,0
Financials,102,9,0.03926474595585503,5964,0,0,57.0,0,0
Chemicals,103,-8,0.14220811550908638,96163,0,0,57.0,0,0
Health Care,104,-1,0.11556544633901705,107000,0,0,57.0,0,1
"Food, Beverages & Tobacco",105,-8,0.02601526621839783,10703,0,0,57.0,0,0
Financials,106,0,0.08302460340077895,30800,0,0,55.0,0,0
"Food, Beverages & Tobacco",107,3,0.24106693507800706,73500,0,0,63.0,0,1
Aerospace & Defense,108,6,0.11458047710446943,70000,0,0,57.0,0,0
Technology,109,-7,0.036004805217092845,61600,0,0,57.0,0,0
Wholesalers,110,-1,-0.007058180711558679,19300,0,0,59.0,1,0
Media,111,106,0.11894146411620883,26280,0,0,57.0,1,1
Retailing,112,7,0.06170642069611587,143000,0,0,57.0,0,0
Financials,113,4,0.25302836230558096,69651,0,0,57.0,0,0
"Hotels, Restaurants & Leisure",114,7,0.1357748051575715,346000,0,0,60.0,0,0
Health Care,115,23,0.1315356664754255,30000,0,0,57.0,0,0
Wholesalers,116,9,0.014842515131655036,28000,0,0,57.0,0,0
"Food, Beverages & Tobacco",117,-1,0.14960569042832844,80000,0,0,57.0,0,0
Industrials,118,12,0.09327843685668191,27000,0,0,57.0,1,0
Technology,119,5,0.14470284237726097,75000,0,0,57.0,0,0
Retailing,120,-2,0.022265208637637677,123000,0,0,57.0,0,0
Technology,121,19,0.0113557706379562,200000,0,0,57.0,0,0
"Food, Beverages & Tobacco",122,-7,0.07747127357168596,37000,0,0,53.0,0,0
Energy,123,3,0.15199935112336768,28793,0,1,39.0,1,0
Motor Vehicles & Parts,124,20,-0.03507201562372854,48016,1,0,49.0,1,0
Energy,125,-12,0.01303237283847855,3442,0,0,57.0,0,0
Technology,126,11,0.18069459893709058,37000,0,0,57.0,0,0
Energy,127,52,0.014945325019304378,1300,0,0,57.0,0,0
Financials,128,18,0.05367015288292926,100000,0,0,57.0,0,0
Energy,129,0,0.005369577984730263,68000,0,0,57.0,0,0
Wholesalers,130,28,0.021075627280877876,240900,0,0,57.0,0,0
Retailing,131,4,0.03502634387653108,125000,0,0,57.0,0,0
Industrials,132,-4,0.09588053116117262,61615,0,0,57.0,0,0
Wholesalers,133,177,-0.012137421159996765,19000,0,0,57.0,0,0
Technology,134,-29,0.2697171665384944,37000,0,0,57.0,0,0
Health Care,135,-6,0.3356733156407842,23400,0,0,57.0,0,1
Retailing,136,0,0.018801176907081288,26980,0,0,83.0,0,0
Business Services,137,16,0.5257431344387866,19500,0,0,62.0,0,1
Technology,138,12,0.12054697526220294,19000,0,0,57.0,0,1
Materials,139,-19,0.05627100035858319,26800,0,0,57.0,0,0
Health Care,140,-1,0.23992160007127267,11800,0,0,63.0,0,0
Transportation,141,1,0.10255038344925986,60767,0,0,65.0,0,0
Energy,142,-15,-0.05047304534094966,55000,0,0,50.0,0,0
Telecommunications,143,-11,-0.2352127137181376,42500,0,0,60.0,0,0
Materials,144,-11,0.054746156596353235,51000,0,0,57.0,0,0
Health Care,145,-22,0.3726965209794126,33625,0,0,65.0,0,0
Financials,146,-3,0.14811494149818444,11729,0,0,57.0,0,0
Engineering & Construction,147,7,0.08306977663569876,10106,0,0,57.0,0,0
Energy,148,19,-0.030358199444722588,14400,0,1,60.0,1,0
Transportation,149,-15,0.2726644555002764,37483,0,0,57.0,0,0
Food & Drug Stores,150,-43,-0.01947920126970066,42645,0,1,57.0,0,0
Financials,151,8,0.24828893821679615,50968,0,0,58.0,1,1
Chemicals,152,-117,0.02314986984008925,35000,0,0,64.0,0,0
Energy,153,-22,0.2212521592978197,27943,0,0,57.0,0,0
Retailing,154,-9,0.021091410171684078,25000,0,0,57.0,1,0
Technology,155,-33,0.05933723564954683,130000,0,0,57.0,0,0
"Hotels, Restaurants & Leisure",156,-7,0.2858823808507105,205000,0,0,52.0,1,1
"Hotels, Restaurants & Leisure",157,-6,0.06069998092695022,174000,0,0,68.0,0,0
Business Services,158,-17,0.02232127878831452,28000,0,0,57.0,0,1
Financials,159,4,0.21328402651042166,48400,0,0,57.0,0,0
Financials,160,1,0.10053037608486018,19500,0,0,57.0,0,0
Health Care,161,-1,0.14658986803890608,60000,0,0,57.0,1,0
Industrials,162,-14,0.057985209853567754,77000,0,0,55.0,0,0
Engineering & Construction,163,-6,-0.012942850202991085,86000,0,0,57.0,0,0
Media,164,33,0.0926207060784664,8600,1,0,60.0,0,0
Retailing,165,-9,0.034594973465505156,79500,0,1,57.0,0,1
Motor Vehicles & Parts,166,-19,0.038040817150674144,164100,0,0,26.0,1,0
"Food, Beverages & Tobacco",167,-5,-0.06531622550010104,7300,0,0,74.0,0,0
Wholesalers,168,8,0.008448350089903007,18000,0,0,57.0,1,0
Wholesalers,169,-4,0.00903241011138094,15500,0,0,57.0,0,0
Financials,170,3,0.19253892400184985,16500,0,1,61.0,0,1
Wholesalers,171,-2,0.03202817613176364,55000,0,0,54.0,0,0
Energy,172,12,0.19626119558425328,14800,0,0,57.0,0,0
Retailing,173,1,0.043998746474459415,25946,0,0,78.0,0,0
Health Care,174,-2,-0.01255479192597002,101104,0,0,57.0,0,0
Household Products,175,-4,0.11691056910569106,40000,0,0,57.0,0,0
Industrials,176,2,0.12551709122577837,88000,0,0,57.0,0,0
Materials,177,13,0.04718136584832413,51100,0,0,43.0,0,0
Technology,178,13,0.04085978571903906,9900,0,1,52.0,1,0
Financials,179,10,0.02976667111526313,93400,0,0,57.0,0,0
Chemicals,180,-3,0.08610229710404005,61111,0,0,57.0,0,0
Engineering & Construction,181,-17,-0.0732438318029769,53349,0,0,57.0,0,0
Business Services,182,22,0.13836371820841772,23200,0,0,62.0,0,1
Engineering & Construction,183,11,0.09199733983595654,8916,0,0,57.0,0,0
Energy,184,-9,0.04417096519620738,4074,0,0,32.0,0,0
Motor Vehicles & Parts,185,82,-0.019140401146131806,78000,0,0,57.0,0,0
Energy,186,-5,0.1573590333716916,2900,0,0,57.0,0,0
Health Care,187,8,0.0713128976286871,70093,0,0,57.0,0,0
Financials,188,-1,0.05133850967667169,11357,0,0,71.0,0,1
Energy,189,-6,-0.44696129371241755,23000,0,1,51.0,0,0
Technology,190,50,0.007369282957071003,49000,1,0,56.0,1,0
Business Services,191,19,0.48083871349878576,18600,0,0,57.0,0,0
"Food, Beverages & Tobacco",192,8,0.10392405663733605,40000,0,0,31.0,0,1
Health Care,193,-25,0.04379345177966605,10000,0,0,57.0,0,0
Technology,194,-1,0.1097539176547697,292500,0,0,57.0,0,0
Financials,195,15,0.10461205861157818,76000,0,0,52.0,0,0
Transportation,196,-16,0.02516818837097549,100000,0,0,57.0,0,0
Energy,197,41,0.08194545015689114,19100,0,0,57.0,0,0
Technology,198,-46,-0.04550666908081357,61800,0,0,57.0,0,0
Retailing,199,-13,0.02142464750045779,129000,0,1,57.0,0,0
Business Services,200,-2,0.02763860901074116,233400,0,0,57.0,0,0
Financials,201,18,0.08594448314336615,17601,0,0,31.0,0,0
Retailing,202,7,0.10355319188732535,92500,0,1,72.0,0,0
Household Products,203,-1,0.15083158095966354,34300,0,0,57.0,0,0
Energy,204,-12,0.12345290269513026,17408,0,0,57.0,0,0
Retailing,205,-9,0.03195052821437774,75000,0,0,57.0,0,0
Engineering & Construction,206,2,0.054838459349698644,50000,0,0,47.0,0,0
Business Services,207,6,0.10805564542219347,44900,0,0,57.0,1,0
Transportation,208,-23,0.03768901662366504,15427,0,0,57.0,0,0
Chemicals,209,-4,0.08206787270566486,47600,0,0,55.0,0,0
Technology,210,6,0.32291251825302003,26400,0,0,57.0,0,0
Business Services,211,-5,0.08954974354173213,70000,0,0,57.0,0,0
Financials,212,14,0.062420467483758624,18605,0,0,67.0,0,0
Chemicals,213,2,0.10457994270878757,50200,0,0,48.0,0,0
Health Care,214,19,0.13994893845740392,40000,0,0,57.0,0,0
Household Products,215,16,0.12009688488192155,48000,0,0,57.0,0,0
Motor Vehicles & Parts,216,-13,-0.02109189555781621,63000,0,0,57.0,1,0
Financials,217,29,0.2198581560283688,59000,0,0,57.0,0,0
Technology,218,-36,0.1852409638554217,22000,0,0,64.0,0,0
Financials,219,2,0.30786161359103104,16200,0,0,68.0,0,1
Household Products,220,8,0.06618105274819625,59438,0,0,57.0,0,0
Energy,221,-51,-0.016594917372587142,27500,0,0,57.0,0,0
Technology,222,-23,0.3488145727595078,29768,0,0,57.0,1,0
Health Care,223,12,0.4095521599120873,7400,0,0,57.0,0,0
Industrials,224,-6,0.10561231259121667,55610,0,0,57.0,0,0
Financials,225,26,0.06083916083916084,3188,0,1,57.0,1,0
Aerospace & Defense,226,1,0.033117249154453215,41700,0,0,57.0,1,0
Business Services,227,12,0.16174727693436425,58000,0,0,55.0,0,1
Technology,228,0,-0.6012582172898848,26900,0,0,51.0,0,0
Industrials,229,-15,0.17868027500177192,45000,0,0,57.0,0,0
Health Care,230,-42,0.057511612239832643,65000,0,0,57.0,0,0
Financials,231,22,0.2113803702909429,17200,0,0,57.0,0,0
"Food, Beverages & Tobacco",232,-20,0.014826069111515945,8000,0,1,57.0,0,0
Apparel,233,19,0.09082519862154484,75000,0,0,57.0,0,0
"Food, Beverages & Tobacco",234,0,-0.0692618806875632,21000,0,0,57.0,0,0
"Hotels, Restaurants & Leisure",235,-5,0.19637528204381688,50000,1,0,57.0,1,0
Aerospace & Defense,236,-7,0.05979457079970653,35000,0,0,59.0,0,0
"Food, Beverages & Tobacco",237,-3,0.07070260715863898,31000,0,0,57.0,0,1
Financials,238,6,0.050442615773891225,9032,0,0,57.0,0,0
Retailing,239,-14,-0.03388319215336603,25314,0,0,57.0,0,0
Wholesalers,240,10,0.0043288419410017105,8555,0,0,57.0,0,0
Health Care,241,-18,-0.05109765329295988,71500,0,0,57.0,0,0
Energy,242,-18,0.16579604814898932,11086,0,0,57.0,0,0
Retailing,243,2,0.014191816961950463,27231,0,0,57.0,0,0
Financials,244,3,0.17074099459294798,39103,0,0,57.0,0,0
Financials,245,4,0.14447073189345952,12500,0,0,57.0,1,1
Wholesalers,246,8,0.002744291644052378,3860,0,0,57.0,0,0
Materials,247,-25,-0.048697534204220454,27500,0,0,65.0,0,0
Retailing,248,-7,-0.028371869724799055,59950,0,0,57.0,0,0
"Hotels, Restaurants & Leisure",249,17,0.1588486553950867,72000,0,0,57.0,1,0
Aerospace & Defense,250,224,0.10368699439950217,50000,0,0,57.0,0,0
Telecommunications,251,-19,0.10927020464251973,16000,0,0,57.0,0,0
Retailing,252,13,0.02142400593401564,14320,0,0,57.0,0,0
Energy,253,-33,0.09227247612281948,10700,0,0,57.0,0,0
Financials,254,52,0.03608745211031251,13531,0,0,57.0,0,0
Financials,255,15,0.0043915028786976375,10980,0,0,57.0,0,0
Energy,256,3,0.10680769842532209,14890,0,0,57.0,0,0
Wholesalers,257,5,0.043282877955557686,51000,0,0,57.0,0,0
Energy,258,11,0.17656513702483323,13969,0,0,57.0,0,0
Energy,259,-4,0.1039928727626144,12937,0,0,57.0,0,0
Energy,260,39,0.06430371514511016,14262,0,0,67.0,1,1
Engineering & Construction,261,22,0.03318967652449596,40300,0,0,57.0,0,0
Retailing,262,-5,0.012792014081131781,7250,0,0,57.0,0,1
Retailing,263,17,0.04682191099693379,25400,0,0,57.0,0,0
Retailing,264,8,0.01444726747372092,15296,0,0,67.0,0,1
Retailing,265,-7,-0.011405959031657356,62000,0,0,57.0,0,0
Financials,266,7,0.09170007250664644,10300,0,0,48.0,1,0
Transportation,267,-7,0.2790483371031247,20908,0,0,57.0,0,0
Retailing,268,13,0.13631497762080969,75840,0,0,57.0,0,0
Financials,269,29,0.06119692749219212,3815,0,0,57.0,0,0
Energy,270,67,0.07858413074773478,5475,0,0,57.0,0,0
Financials,271,18,0.31429783623249896,19700,0,0,57.0,0,0
Materials,272,12,0.04372053150450064,33043,0,0,57.0,0,0
Financials,273,30,0.1476157686348769,8700,0,0,52.0,0,0
Health Care,274,4,0.07129504621456019,65000,0,0,57.0,1,0
Media,275,17,0.006052996189816419,18200,0,0,57.0,0,0
Energy,276,-2,0.11900425015179114,11295,0,0,57.0,0,0
Industrials,277,2,0.08345648961140573,49500,0,0,57.0,0,1
Wholesalers,278,4,0.07391607173950897,24550,0,0,57.0,0,0
Materials,279,-8,0.049328917552727905,18300,0,0,27.0,0,0
Media,280,0,0.14004741417156905,7700,0,0,49.0,1,0
Health Care,281,12,0.07161878312225904,79050,0,0,47.0,0,0
Health Care,282,4,0.08810068649885583,50000,0,0,57.0,0,0
Transportation,283,-6,0.24097025495750707,24587,0,0,57.0,0,0
Industrials,284,24,0.019642698426806507,12300,0,0,57.0,0,0
Technology,285,54,0.26420380797221454,22634,0,0,57.0,0,1
Retailing,286,-25,-0.023999283603474524,90000,0,0,57.0,0,0
Media,287,13,0.18566044508255564,9200,0,0,60.0,0,0
"Food, Beverages & Tobacco",288,121,0.11276978417266187,25500,0,0,57.0,0,1
Technology,289,22,0.060122588786731566,34000,0,0,64.0,0,0
Health Care,290,15,0.017225829725829724,67000,0,0,57.0,0,0
Materials,291,-16,0.06392498496418743,15300,0,0,57.0,0,0
Technology,292,-24,0.2560908591317091,13775,1,0,57.0,0,0
Energy,293,-5,0.11409451496961953,13635,0,0,57.0,0,0
Energy,294,-31,0.08405529953917051,12316,0,0,57.0,0,0
Technology,295,0,0.16537037037037036,13300,0,0,57.0,0,1
Health Care,296,23,0.43782021425244527,36000,0,0,57.0,0,0
Retailing,297,-12,0.009298393913778529,40000,0,0,81.0,0,0
"Food, Beverages & Tobacco",298,-4,0.022846286178800308,17700,0,0,57.0,0,0
Materials,299,-35,0.0641280458671763,8385,1,0,57.0,0,0
Financials,300,36,0.025966697590787798,6072,0,0,57.0,0,0
Retailing,301,15,0.013783801880565893,9300,0,0,57.0,0,0
Materials,302,-66,-0.10783092111569059,13800,0,0,115.0,0,0
Business Services,303,58,0.028839639988386723,55000,0,0,57.0,1,0
Health Care,304,-62,0.06741191425771206,19000,0,0,57.0,0,0
Business Services,305,9,0.10420995397790163,36000,0,0,57.0,0,0
Media,306,74,0.010299261562378547,6753,0,0,60.0,0,1
Engineering & Construction,307,33,0.04074686375571331,23000,0,0,57.0,0,0
Business Services,308,14,0.06417970316887285,54300,0,0,57.0,0,0
Engineering & Construction,309,3,0.0995495936551454,5245,0,0,57.0,0,0
Energy,310,-14,0.029737952694081853,8000,0,0,57.0,0,0
Business Services,311,177,0.08766074408559929,44000,0,0,61.0,0,0
Motor Vehicles & Parts,312,-11,0.07336742722265932,29000,0,0,53.0,0,0
Energy,313,-57,0.12579197985124552,2882,0,0,57.0,0,0
Retailing,314,15,0.13704433497536947,67663,0,0,57.0,0,0
Financials,315,63,0.03793076099456716,13900,0,0,57.0,0,0
Household Products,316,-73,0.010572145471134869,30000,0,0,57.0,0,0
Energy,317,6,0.16802302500992458,12992,0,0,42.0,1,1
Media,318,23,0.015386142545165774,28000,0,0,59.0,0,0
Energy,319,11,0.07644956314535345,2256,0,0,57.0,1,0
Financials,320,62,0.13513999640266205,6141,0,0,57.0,0,0
Household Products,321,-6,0.0746386913657015,41800,0,0,66.0,0,0
Apparel,322,2,0.04211323039660914,30750,0,0,46.0,0,1
"Food, Beverages & Tobacco",322,27,0.021293773337370068,19000,0,0,52.0,1,0
Energy,324,-33,0.44959983790902647,4577,0,0,57.0,0,0
Financials,325,59,0.25658835546475994,19869,0,0,57.0,0,0
Retailing,326,5,-0.0059310767972185294,38000,0,0,51.0,0,0
Telecommunications,327,0,0.014230245161819095,10700,0,0,49.0,1,0
Energy,328,91,0.2879876796714579,16600,0,0,57.0,0,0
Energy,329,54,0.06659815005138746,1530,0,0,90.0,1,0
